ID,Is_Lead
VBENBARO,0.07723594988238781
CCMEWNKY,0.3009887444936558
VK3KGA9M,0.05939781899238333
TT8RPZVC,0.024251440713934213
SHQZEYTZ,0.02139909860217412
MZZAQMPT,0.09749014480391215
Y88TW36I,0.1046165729816139
3UGOAQNU,0.061182741416759466
VVUKMUJT,0.989430876768535
9R363ZXS,0.18854539873320084
BLISM6JE,0.0550279115804751
CH8S7JK7,0.329573655376554
EAHDPXEJ,0.47693822858627194
BNUK9PRF,0.3976798027156528
GP2PG6FJ,0.06919012633226475
WNQCSN8A,0.03875700431309592
32DN4YVZ,0.5121019186070352
GXAMDANM,0.05130339359984837
MXETLUP4,0.055789879781179996
MPXK6TVE,0.6545051551283522
LBSIME2K,0.12994838407647516
D6ORJTM6,0.05467976805333769
HGDIBAKA,0.5935591701867309
UUZYL9DZ,0.49295170938862626
AUGE3VWK,0.053867096371886906
MX7GOX6Q,0.08440645384478591
TQN6K35W,0.04835336969923288
QQDRMQQN,0.6462343299140046
UP6GC6F4,0.035301931496831744
BMHBUVHB,0.687221150598126
KGLDW86A,0.13477865739861974
FQEOMOP4,0.17065620082280294
DYWM5MEU,0.24079769520906436
DXHGXV8F,0.0764648624430988
AVFBFQKC,0.2025327708489213
DBIDKYMV,0.10330325435585956
KYZHMEBY,0.347265958190399
SSFEBUGF,0.061589069785677304
MGJTAG8X,0.5726679952713426
MP6BERDO,0.2538396109922259
GXZ8ED68,0.05880539361130347
ICTFGWQR,0.6444567718102271
EAYHTRKH,0.021854507696396627
6FN97QLQ,0.1293949192466534
3H5MZDDW,0.4586971797037999
2DXZZWSN,0.03224062492852464
MM4QIRE5,0.05759896090040528
HJWVYXUA,0.27944101580807174
RBRSJUP3,0.5121403787756348
YFRQKGXW,0.4906616242131621
N3SADEBV,0.026477309438704466
G2A2YYXY,0.04305680547143351
XMGA3WT3,0.047418629184460416
KVZQPSGI,0.20451024803961637
UAKARBBG,0.045647189948602264
WYKKL85Z,0.3095095153585599
GHNYYGRR,0.15428967217757075
UBAJANWT,0.05430517318722535
LSARSF7U,0.01861352938225339
4CNSJVVR,0.312325615954867
JRHJSWYO,0.4646372132374918
FHZ8SVVI,0.06798239633514283
JUIRE47M,0.14453823736243007
GDIVN2GL,0.04774670017996651
WMF3DYE3,0.5230865080117506
MAQEHEWK,0.19136586091348598
2W8DLKFU,0.05761002305762821
AKGRML6H,0.18358870568082944
B7WUUGCY,0.043510287341428956
TLJOYATM,0.5763032291856026
UH6ZDM3W,0.24723791361459568
7IP5SSRR,0.7531507080563635
PV85PMEB,0.5999132436768108
FGDOY4NI,0.1305138730777401
7YYIXJQE,0.04291441515384006
BHW42XPW,0.0443149985184009
3PKEEAT4,0.35173168466311394
ACFPZ3LM,0.06377754962314108
6GORGNYN,0.3709870493873389
AEPQTMJK,0.3261981099295415
S6FNZFKK,0.04838066470200855
JTYNEKRQ,0.6818959215671482
GPXDPHHC,0.04713666351581494
O8TMKNNB,0.051878508681906826
XSQVHKYG,0.057434656930943
MJ3CZRAE,0.02357928986669701
3NSQEYBJ,0.4723393594331315
SXVBASGH,0.05435676880899574
5ZIGZYSS,0.036698557340028755
FQSHBCUT,0.45550410756339105
MU45XUBP,0.04054759038015406
BVULDPBI,0.04839019356651484
82GRNPFG,0.31614902100558445
KKBNELBF,0.03997284615838754
HXQGBDGY,0.04896054817608083
28HDZICG,0.6550578949468888
GHBPKPJC,0.04981816829378214
FDWZFSSC,0.46157128325351476
FWTIWZF3,0.0613797986760965
JYMHVPMY,0.03769070664671847
AHUDO2T6,0.526797756353632
ACDHABS3,0.40606950881966736
5NTYJJDV,0.07569893951895522
2M4VPY4V,0.07195958229876225
KAHP9XLF,0.057852427512748106
YRLEWZFQ,0.132907102208179
JZWVLXHJ,0.25288417848345557
JZZSXUKT,0.38390006427412576
93RURE2J,0.34356071641303026
4RNB6FDV,0.2009169653808122
27E7HMMG,0.12288497014657934
2QEFQQWN,0.04554942947953033
DDTCD2XI,0.08066808766152248
VGVEYSEG,0.32774445630683413
WCXVE7RK,0.05089235362423188
RTN4R3UE,0.03891972249689483
K2PVS4RB,0.04734686950704681
Q36J686Z,0.08609783050812257
NWKHMEOF,0.12335716223491781
PVJYQQGT,0.39774432412840705
GPUMRNWC,0.05465593032069632
LXHCDSVH,0.12335834390040185
BNIUPSVK,0.07817024099082849
FW3QI3WW,0.07507423337256819
IEEUGXMY,0.21353132686029563
FVVXDLBO,0.06697060498817194
UC2JJB6Y,0.07582018163105714
3WPAHP52,0.6014822752000665
HDTCJJOE,0.5871658435511357
UCSB9GKK,0.06082607357502954
